flickrid,url,tag,Large Square,Small,Medium,Large
11011320426,http://flickr.com/photos/britishlibrary/11011320426,portrait,http://farm3.staticflickr.com/2849/11011320426_c8ce1bff32_q.jpg,http://farm3.staticflickr.com/2849/11011320426_c8ce1bff32_m.jpg,http://farm3.staticflickr.com/2849/11011320426_c8ce1bff32.jpg,http://farm3.staticflickr.com/2849/11011320426_c8ce1bff32_b.jpg
10999610865,http://flickr.com/photos/britishlibrary/10999610865,portrait,http://farm8.staticflickr.com/7372/10999610865_e000dfcacb_q.jpg,http://farm8.staticflickr.com/7372/10999610865_e000dfcacb_m.jpg,http://farm8.staticflickr.com/7372/10999610865_e000dfcacb.jpg,http://farm8.staticflickr.com/7372/10999610865_e000dfcacb_b.jpg
10999211103,http://flickr.com/photos/britishlibrary/10999211103,portrait,http://farm6.staticflickr.com/5499/10999211103_2b3df81981_q.jpg,http://farm6.staticflickr.com/5499/10999211103_2b3df81981_m.jpg,http://farm6.staticflickr.com/5499/10999211103_2b3df81981.jpg,http://farm6.staticflickr.com/5499/10999211103_2b3df81981_b.jpg
11009304193,http://flickr.com/photos/britishlibrary/11009304193,portrait,http://farm6.staticflickr.com/5491/11009304193_fa24663a63_q.jpg,http://farm6.staticflickr.com/5491/11009304193_fa24663a63_m.jpg,http://farm6.staticflickr.com/5491/11009304193_fa24663a63.jpg,http://farm6.staticflickr.com/5491/11009304193_fa24663a63_b.jpg
11037357696,http://flickr.com/photos/britishlibrary/11037357696,portrait,http://farm8.staticflickr.com/7388/11037357696_5f7ec9a93f_q.jpg,http://farm8.staticflickr.com/7388/11037357696_5f7ec9a93f_m.jpg,http://farm8.staticflickr.com/7388/11037357696_5f7ec9a93f.jpg,http://farm8.staticflickr.com/7388/11037357696_5f7ec9a93f_b.jpg
11121054834,http://flickr.com/photos/britishlibrary/11121054834,map,http://farm3.staticflickr.com/2854/11121054834_db073c9e45_q.jpg,http://farm3.staticflickr.com/2854/11121054834_db073c9e45_m.jpg,http://farm3.staticflickr.com/2854/11121054834_db073c9e45.jpg,http://farm3.staticflickr.com/2854/11121054834_db073c9e45_b.jpg
11052512615,http://flickr.com/photos/britishlibrary/11052512615,map,http://farm6.staticflickr.com/5494/11052512615_91f7b0de29_q.jpg,http://farm6.staticflickr.com/5494/11052512615_91f7b0de29_m.jpg,http://farm6.staticflickr.com/5494/11052512615_91f7b0de29.jpg,http://farm6.staticflickr.com/5494/11052512615_91f7b0de29_b.jpg
11106491856,http://flickr.com/photos/britishlibrary/11106491856,map,http://farm8.staticflickr.com/7340/11106491856_91e5e27fd8_q.jpg,http://farm8.staticflickr.com/7340/11106491856_91e5e27fd8_m.jpg,http://farm8.staticflickr.com/7340/11106491856_91e5e27fd8.jpg,http://farm8.staticflickr.com/7340/11106491856_91e5e27fd8_b.jpg
11126187606,http://flickr.com/photos/britishlibrary/11126187606,map,http://farm4.staticflickr.com/3823/11126187606_0f198b3942_q.jpg,http://farm4.staticflickr.com/3823/11126187606_0f198b3942_m.jpg,http://farm4.staticflickr.com/3823/11126187606_0f198b3942.jpg,http://farm4.staticflickr.com/3823/11126187606_0f198b3942_b.jpg
16564040026,http://flickr.com/photos/britishlibrary/16564040026,map,http://farm9.staticflickr.com/8664/16564040026_0067cf0a77_q.jpg,http://farm9.staticflickr.com/8664/16564040026_0067cf0a77_m.jpg,http://farm9.staticflickr.com/8664/16564040026_0067cf0a77.jpg,http://farm9.staticflickr.com/8664/16564040026_0067cf0a77_b.jpg
11018218063,http://flickr.com/photos/britishlibrary/11018218063,diagram,http://farm8.staticflickr.com/7360/11018218063_2a6f0ecef5_q.jpg,http://farm8.staticflickr.com/7360/11018218063_2a6f0ecef5_m.jpg,http://farm8.staticflickr.com/7360/11018218063_2a6f0ecef5.jpg,
11031307904,http://flickr.com/photos/britishlibrary/11031307904,diagram,http://farm8.staticflickr.com/7344/11031307904_df29007f84_q.jpg,http://farm8.staticflickr.com/7344/11031307904_df29007f84_m.jpg,http://farm8.staticflickr.com/7344/11031307904_df29007f84.jpg,http://farm8.staticflickr.com/7344/11031307904_df29007f84_b.jpg
11016659154,http://flickr.com/photos/britishlibrary/11016659154,diagram,http://farm4.staticflickr.com/3744/11016659154_703b856a7a_q.jpg,http://farm4.staticflickr.com/3744/11016659154_703b856a7a_m.jpg,http://farm4.staticflickr.com/3744/11016659154_703b856a7a.jpg,http://farm4.staticflickr.com/3744/11016659154_703b856a7a_b.jpg
11019875596,http://flickr.com/photos/britishlibrary/11019875596,diagram,http://farm8.staticflickr.com/7313/11019875596_d19a1a4bae_q.jpg,http://farm8.staticflickr.com/7313/11019875596_d19a1a4bae_m.jpg,http://farm8.staticflickr.com/7313/11019875596_d19a1a4bae.jpg,http://farm8.staticflickr.com/7313/11019875596_d19a1a4bae_b.jpg
11049491713,http://flickr.com/photos/britishlibrary/11049491713,diagram,http://farm4.staticflickr.com/3708/11049491713_fb3fc92a8e_q.jpg,http://farm4.staticflickr.com/3708/11049491713_fb3fc92a8e_m.jpg,http://farm4.staticflickr.com/3708/11049491713_fb3fc92a8e.jpg,http://farm4.staticflickr.com/3708/11049491713_fb3fc92a8e_b.jpg
11057980693,http://flickr.com/photos/britishlibrary/11057980693,people,http://farm3.staticflickr.com/2828/11057980693_4d694b0517_q.jpg,http://farm3.staticflickr.com/2828/11057980693_4d694b0517_m.jpg,http://farm3.staticflickr.com/2828/11057980693_4d694b0517.jpg,http://farm3.staticflickr.com/2828/11057980693_4d694b0517_b.jpg
